"","Dec_time","Dec_ZT_time","Condition","binned_mean","binned_sem"
"3241",360,1320,"3 Male",0.2625,0
"3271",390,1350,"3 Male",0.3608333333,0
"3301",420,1380,"3 Male",0.28,0
"3331",450,1410,"3 Male",0.3375,0
"3361",480,0,"3 Male",0.7516666667,0
"3391",510,30,"3 Male",0.7083333333,0
"3421",540,60,"3 Male",0.5991666667,0
"3451",570,90,"3 Male",0.3916666667,0
"3481",600,120,"3 Male",0.385,0
"3511",630,150,"3 Male",0.3708333333,0
"3541",660,180,"3 Male",0.4266666667,0
"3571",690,210,"3 Male",0.6375,0
"3601",720,240,"3 Male",0.745,0
"3631",750,270,"3 Male",0.375,0
"3661",780,300,"3 Male",0.3858333333,0
"3691",810,330,"3 Male",0.4683333333,0
"3721",840,360,"3 Male",0.4533333333,0
"3751",870,390,"3 Male",0.5733333333,0
"3781",900,420,"3 Male",0.4408333333,0
"3811",930,450,"3 Male",0.6441666667,0
"3841",960,480,"3 Male",0.7058333333,0
"3871",990,510,"3 Male",0.9158333333,0
"3901",1020,540,"3 Male",1.0558333333,0
"3931",1050,570,"3 Male",1.2091666667,0
"3961",1080,600,"3 Male",1.0608333333,0
"3991",1110,630,"3 Male",1.2666666667,0
"4021",1140,660,"3 Male",1.2058333333,0
"4051",1170,690,"3 Male",1.2241666667,0
"4081",1200,720,"3 Male",1.3916666667,0
"4111",1230,750,"3 Male",0.9875,0
"4141",1260,780,"3 Male",0.5191666667,0
"4171",1290,810,"3 Male",0.1225,0
"4201",1320,840,"3 Male",0.0516666667,0
"4231",1350,870,"3 Male",0.0133333333,0
"4261",1380,900,"3 Male",0.0366666667,0
"4291",1410,930,"3 Male",0.0375,0
"4321",0,960,"3 Female",0.0177777778,0
"4351",30,990,"3 Female",0.0822222222,0
"4381",60,1020,"3 Female",0.0788888889,0
"4411",90,1050,"3 Female",0.1177777778,0
"4441",120,1080,"3 Female",0.0333333333,0
"4471",150,1110,"3 Female",0.0388888889,0
"4501",180,1140,"3 Female",0.03,0
"4531",210,1170,"3 Female",0.05,0
"4561",240,1200,"3 Female",0.0766666667,0
"4591",270,1230,"3 Female",0.2233333333,0
"4621",300,1260,"3 Female",0.1533333333,0
"4651",330,1290,"3 Female",0.1088888889,0
"4681",360,1320,"3 Female",0.2577777778,0
"4711",390,1350,"3 Female",0.1811111111,0
"4741",420,1380,"3 Female",0.1766666667,0
"4771",450,1410,"3 Female",0.1644444444,0
"4801",480,0,"3 Female",0.6722222222,0
"4831",510,30,"3 Female",0.7822222222,0
"4861",540,60,"3 Female",0.8211111111,0
"4891",570,90,"3 Female",0.7077777778,0
"4921",600,120,"3 Female",0.6255555556,0
"4951",630,150,"3 Female",0.5433333333,0
"4981",660,180,"3 Female",0.6477777778,0
"5011",690,210,"3 Female",0.6688888889,0
"5041",720,240,"3 Female",0.5455555556,0
"5071",750,270,"3 Female",0.4188888889,0
"5101",780,300,"3 Female",0.4766666667,0
"5131",810,330,"3 Female",0.3788888889,0
"5161",840,360,"3 Female",0.4188888889,0
"5191",870,390,"3 Female",0.4488888889,0
"5221",900,420,"3 Female",0.4522222222,0
"5251",930,450,"3 Female",0.4033333333,0
"5281",960,480,"3 Female",0.3822222222,0
"5311",990,510,"3 Female",0.6355555556,0
"5341",1020,540,"3 Female",0.6222222222,0
"5371",1050,570,"3 Female",0.69,0
"5401",1080,600,"3 Female",0.7066666667,0
"5431",1110,630,"3 Female",0.7588888889,0
"5461",1140,660,"3 Female",0.6511111111,0
"5491",1170,690,"3 Female",0.8744444444,0
"5521",1200,720,"3 Female",1.0044444444,0
"5551",1230,750,"3 Female",0.6066666667,0
"5581",1260,780,"3 Female",0.41,0
"5611",1290,810,"3 Female",0.1511111111,0
"5641",1320,840,"3 Female",0.0433333333,0
"5671",1350,870,"3 Female",0.0344444444,0
"5701",1380,900,"3 Female",0.0244444444,0
"5731",1410,930,"3 Female",0.0066666667,0
