"","Dec_time","Dec_ZT_time","Condition","binned_mean","binned_sem"
"4351",30,990,"3 Female",0.14,0
"4381",60,1020,"3 Female",0.2044444444,0
"4411",90,1050,"3 Female",0.1011111111,0
"4441",120,1080,"3 Female",0.0533333333,0
"4471",150,1110,"3 Female",0.07,0
"4501",180,1140,"3 Female",0.0844444444,0
"4531",210,1170,"3 Female",0.1177777778,0
"4561",240,1200,"3 Female",0.1655555556,0
"4591",270,1230,"3 Female",0.1977777778,0
"4621",300,1260,"3 Female",0.1144444444,0
"4651",330,1290,"3 Female",0.1588888889,0
"4681",360,1320,"3 Female",0.2033333333,0
"4711",390,1350,"3 Female",0.2677777778,0
"4741",420,1380,"3 Female",0.1433333333,0
"4771",450,1410,"3 Female",0.2466666667,0
"4801",480,0,"3 Female",1.2222222222,0
"4831",510,30,"3 Female",1.0155555556,0
"4861",540,60,"3 Female",0.8177777778,0
"4891",570,90,"3 Female",0.8022222222,0
"4921",600,120,"3 Female",0.76,0
"4951",630,150,"3 Female",0.6822222222,0
"4981",660,180,"3 Female",0.6766666667,0
"5011",690,210,"3 Female",0.61,0
"5041",720,240,"3 Female",0.5922222222,0
"5071",750,270,"3 Female",0.5333333333,0
"5101",780,300,"3 Female",0.4755555556,0
"5131",810,330,"3 Female",0.3877777778,0
"5161",840,360,"3 Female",0.5822222222,0
"5191",870,390,"3 Female",0.3877777778,0
"5221",900,420,"3 Female",0.3566666667,0
"5251",930,450,"3 Female",0.4233333333,0
"5281",960,480,"3 Female",0.6233333333,0
"5311",990,510,"3 Female",0.9055555556,0
"5341",1020,540,"3 Female",0.8422222222,0
"5371",1050,570,"3 Female",0.8866666667,0
"5401",1080,600,"3 Female",0.8244444444,0
"5431",1110,630,"3 Female",0.9544444444,0
"5461",1140,660,"3 Female",0.9422222222,0
"5491",1170,690,"3 Female",1.0322222222,0
"5521",1200,720,"3 Female",1.0044444444,0
"5551",1230,750,"3 Female",0.5633333333,0
"5581",1260,780,"3 Female",0.18,0
"5611",1290,810,"3 Female",0,0
"5641",1320,840,"3 Female",0,0
"5671",1350,870,"3 Female",0.0111111111,0
"5701",1380,900,"3 Female",0.0444444444,0
"5731",1410,930,"3 Female",0.0277777778,0
