"","Dec_time","Dec_ZT_time","Condition","binned_mean","binned_sem"
"2551",1110,630,"4 Female",0.5653333333,0
"2581",1140,660,"4 Female",0.712,0
"2611",1170,690,"4 Female",0.7946666667,0
"2641",1200,720,"4 Female",1.4186666667,0
"2671",1230,750,"4 Female",1.0013333333,0
"2701",1260,780,"4 Female",1.0333333333,0
"2731",1290,810,"4 Female",0.5653333333,0
"2761",1320,840,"4 Female",0.2106666667,0
"2791",1350,870,"4 Female",0.0693333333,0
"2821",1380,900,"4 Female",0.088,0
"2851",1410,930,"4 Female",0.052,0
"2881",0,960,"5 Male",0.22,0
"2911",30,990,"5 Male",0.1275,0
"2941",60,1020,"5 Male",0.1516666667,0
"2971",90,1050,"5 Male",0.1925,0
"3001",120,1080,"5 Male",0.1808333333,0
"3031",150,1110,"5 Male",0.0783333333,0
"3061",180,1140,"5 Male",0.2091666667,0
"3091",210,1170,"5 Male",0.1541666667,0
"3121",240,1200,"5 Male",0.1933333333,0
"3151",270,1230,"5 Male",0.0575,0
"3181",300,1260,"5 Male",0.1025,0
"3211",330,1290,"5 Male",0.06,0
"3241",360,1320,"5 Male",0.1,0
"3271",390,1350,"5 Male",0.3675,0
"3301",420,1380,"5 Male",0.4358333333,0
"3331",450,1410,"5 Male",0.4925,0
"3361",480,0,"5 Male",1.005,0
"3391",510,30,"5 Male",0.56,0
"3421",540,60,"5 Male",0.4083333333,0
"3451",570,90,"5 Male",0.4525,0
"3481",600,120,"5 Male",0.4708333333,0
"3511",630,150,"5 Male",0.2191666667,0
"3541",660,180,"5 Male",0.32,0
"3571",690,210,"5 Male",0.4008333333,0
"3601",720,240,"5 Male",0.2441666667,0
"3631",750,270,"5 Male",0.1716666667,0
"3661",780,300,"5 Male",0.1666666667,0
"3691",810,330,"5 Male",0.1525,0
"3721",840,360,"5 Male",0.235,0
"3751",870,390,"5 Male",0.3325,0
"3781",900,420,"5 Male",0.3625,0
"3811",930,450,"5 Male",0.5133333333,0
"3841",960,480,"5 Male",0.2991666667,0
"3871",990,510,"5 Male",0.555,0
"3901",1020,540,"5 Male",0.6658333333,0
"3931",1050,570,"5 Male",0.4583333333,0
"3961",1080,600,"5 Male",0.6508333333,0
"3991",1110,630,"5 Male",1.0008333333,0
"4021",1140,660,"5 Male",0.9908333333,0
"4051",1170,690,"5 Male",1.1525,0
"4081",1200,720,"5 Male",1.2941666667,0
"4111",1230,750,"5 Male",0.41,0
"4141",1260,780,"5 Male",0.1208333333,0
"4171",1290,810,"5 Male",0.09,0
"4201",1320,840,"5 Male",0.0883333333,0
"4231",1350,870,"5 Male",0.0816666667,0
"4261",1380,900,"5 Male",0.0958333333,0
"4291",1410,930,"5 Male",0.1283333333,0
"4321",0,960,"5 Female",0.1133333333,0
"4351",30,990,"5 Female",0.045,0
"4381",60,1020,"5 Female",0.0016666667,0
"4411",90,1050,"5 Female",0.0825,0
"4441",120,1080,"5 Female",0.0691666667,0
"4471",150,1110,"5 Female",0.0691666667,0
"4501",180,1140,"5 Female",0.0725,0
"4531",210,1170,"5 Female",0.0166666667,0
"4561",240,1200,"5 Female",0.06,0
"4591",270,1230,"5 Female",0.0125,0
"4621",300,1260,"5 Female",0.0583333333,0
"4651",330,1290,"5 Female",0.0875,0
"4681",360,1320,"5 Female",0.1716666667,0
"4711",390,1350,"5 Female",0.065,0
"4741",420,1380,"5 Female",0.165,0
"4771",450,1410,"5 Female",0.2641666667,0
"4801",480,0,"5 Female",0.8191666667,0
"4831",510,30,"5 Female",0.75,0
"4861",540,60,"5 Female",0.7133333333,0
"4891",570,90,"5 Female",0.6758333333,0
"4921",600,120,"5 Female",0.5333333333,0
"4951",630,150,"5 Female",0.4708333333,0
"4981",660,180,"5 Female",0.4808333333,0
"5011",690,210,"5 Female",0.42,0
"5041",720,240,"5 Female",0.36,0
"5071",750,270,"5 Female",0.4608333333,0
"5101",780,300,"5 Female",0.295,0
"5131",810,330,"5 Female",0.4658333333,0
"5161",840,360,"5 Female",0.3833333333,0
"5191",870,390,"5 Female",0.4225,0
"5221",900,420,"5 Female",0.3075,0
"5251",930,450,"5 Female",0.3983333333,0
"5281",960,480,"5 Female",0.3033333333,0
"5311",990,510,"5 Female",0.485,0
"5341",1020,540,"5 Female",0.3341666667,0
"5371",1050,570,"5 Female",0.4241666667,0
"5401",1080,600,"5 Female",0.535,0
"5431",1110,630,"5 Female",0.5416666667,0
"5461",1140,660,"5 Female",0.5091666667,0
"5491",1170,690,"5 Female",0.7108333333,0
"5521",1200,720,"5 Female",0.9033333333,0
"5551",1230,750,"5 Female",0.4675,0
"5581",1260,780,"5 Female",0.3883333333,0
"5611",1290,810,"5 Female",0.26,0
"5641",1320,840,"5 Female",0.1266666667,0
"5671",1350,870,"5 Female",0.2108333333,0
"5701",1380,900,"5 Female",0.0658333333,0
"5731",1410,930,"5 Female",0.0458333333,0
